step_t,hand_qpos_l2,piano_key_f1,piano_precision,piano_recall,piano_iou,sim_keys,ref_keys,episode_done
117,0.2575664222240448,0.0,0.0,0.0,0.0,"[31, 50]","[27, 34, 53]",False
118,0.11130058765411377,0.0,0.0,0.0,0.0,"[24, 31, 50]","[27, 34, 53]",False
119,0.49791771173477173,0.0,0.0,0.0,0.0,[31],"[27, 34, 53]",False
120,0.23764848709106445,0.0,0.0,0.0,0.0,"[24, 31, 50]","[27, 34, 53]",False
121,0.2588002681732178,0.0,0.0,0.0,0.0,"[24, 31, 50]","[27, 34, 53]",False
122,0.1752665638923645,0.0,0.0,0.0,0.0,"[24, 31, 50]","[27, 34, 53]",False
123,0.2174087017774582,0.0,0.0,0.0,0.0,"[24, 31]","[27, 34, 53]",False
124,0.3428480923175812,0.0,0.0,0.0,0.0,"[24, 50]","[27, 34, 53]",False
125,0.4017148017883301,0.0,0.0,0.0,0.0,"[24, 31, 50]","[27, 53]",False
126,0.31494003534317017,0.0,0.0,0.0,0.0,"[24, 48, 50]",[27],False
127,0.28604182600975037,0.0,0.0,0.0,0.0,"[24, 31, 32]","[27, 34, 36]",False
128,0.2844032049179077,0.0,0.0,0.0,0.0,"[24, 46]","[27, 34, 36]",False
129,0.15499280393123627,0.0,0.0,0.0,0.0,"[24, 32]","[27, 34, 36, 51, 53]",False
130,0.278477281332016,0.0,0.0,0.0,0.0,"[24, 48, 50]","[27, 34, 36, 53]",False
131,0.26775261759757996,0.0,0.0,0.0,0.0,"[24, 31, 32, 50]","[27, 34, 36, 53]",False
132,0.33753493428230286,0.0,0.0,0.0,0.0,"[24, 32, 50]","[27, 34, 36, 53, 55]",False
133,0.302372008562088,0.0,0.0,0.0,0.0,"[24, 31, 32, 50]","[27, 34, 36, 55]",False
134,0.32672467827796936,0.0,0.0,0.0,0.0,"[24, 31]","[27, 34, 36, 55]",False
135,0.31236881017684937,0.0,0.0,0.0,0.0,"[24, 31, 32, 51]","[27, 34, 36, 55]",False
136,0.2803323566913605,0.0,0.0,0.0,0.0,"[24, 32, 51]","[27, 34, 36, 55]",False
137,0.24149422347545624,0.0,0.0,0.0,0.0,"[24, 32, 51]","[27, 34, 36, 55]",False
138,0.30392196774482727,0.0,0.0,0.0,0.0,"[24, 51]","[27, 36, 55]",False
139,0.34032294154167175,0.0,0.0,0.0,0.0,[51],"[27, 55]",False
140,0.3947834074497223,0.0,0.0,0.0,0.0,"[24, 51]","[27, 55]",False
141,0.37807512283325195,0.0,0.0,0.0,0.0,[51],"[27, 55]",False
142,0.2811747193336487,0.0,0.0,0.0,0.0,[51],"[27, 55]",False
143,0.20326697826385498,0.0,0.0,0.0,0.0,"[24, 51]","[27, 55]",False
144,0.39513447880744934,0.0,0.0,0.0,0.0,[51],"[27, 55]",False
145,0.2862313389778137,0.0,0.0,0.0,0.0,"[24, 51]","[27, 55]",False
146,0.06619291752576828,0.0,0.0,0.0,0.0,"[24, 51]","[27, 55]",False
147,0.23010145127773285,0.0,0.0,0.0,0.0,"[24, 51]","[27, 55]",False
148,0.339345246553421,0.0,0.0,0.0,0.0,"[24, 51]","[27, 55]",False
149,0.3825118839740753,0.0,0.0,0.0,0.0,[51],"[27, 55]",False
