step,hand_qpos_l2,piano_state_iou,sim_keys,ref_keys,goal_keys
82,1.11121666431427,0.0,[50],"[26, 34, 53]","[26, 34, 53]"
83,0.9760459661483765,0.0,"[28, 50]","[26, 34, 53]","[26, 34, 53]"
84,1.1792207956314087,0.0,[],"[26, 34, 53]","[26, 34, 53]"
85,1.069370150566101,0.0,[],"[26, 34, 53]","[26, 34, 53]"
86,1.0762995481491089,0.0,"[21, 29, 50, 51]","[26, 34, 53]","[26, 34, 53]"
87,1.155527949333191,0.0,"[21, 29]","[26, 34, 53]","[26, 34, 53]"
88,1.1321172714233398,0.0,"[21, 29]","[26, 34, 53]","[26, 34, 53]"
89,1.0239253044128418,0.0,"[21, 29]","[26, 34, 53]","[26, 34, 53]"
90,1.0905324220657349,0.0,[21],"[26, 34, 53]","[26, 34, 53]"
91,1.061853051185608,0.0,"[21, 29]","[26, 34, 53]","[26, 34, 53]"
92,1.0769234895706177,0.0,[],"[26, 34, 53]","[26, 34, 53]"
93,1.1385986804962158,0.0,"[27, 29]","[26, 34, 53]","[26, 34, 53]"
94,1.1097301244735718,0.0,[],"[26, 34, 53]","[26, 34, 53]"
95,0.9052093625068665,0.0,"[22, 27, 29]","[26, 34, 53]","[26, 34, 53]"
96,1.0201034545898438,0.0,"[22, 29, 50]","[26, 34, 53]","[26, 34, 53]"
97,1.048710823059082,0.0,[],"[26, 34, 53]","[26, 34, 53]"
98,1.1498067378997803,0.0,[],"[26, 34, 53]","[26, 34, 53]"
99,1.1427333354949951,0.0,[],"[26, 34, 53]","[26, 34, 53]"
100,1.2338995933532715,0.0,"[23, 29, 31]","[26, 34, 53]","[26, 27, 34]"
101,1.4984588623046875,0.0,[51],"[26, 34, 53]","[27, 34, 53]"
102,1.4244717359542847,0.0,[],"[34, 53]","[27, 34, 53]"
103,1.3590779304504395,0.0,[],"[34, 53]","[27, 34, 53]"
104,1.1314347982406616,0.0,[],"[27, 34, 53]","[27, 34, 53]"
105,1.2437447309494019,0.0,[],"[27, 34, 53]","[27, 34, 53]"
106,0.993622362613678,0.0,[23],"[27, 34, 53]","[27, 34, 53]"
107,0.9658238887786865,0.0,[23],"[27, 34, 53]","[27, 34, 53]"
108,0.9453573226928711,0.0,[],"[27, 34, 53]","[27, 34, 53]"
109,0.9342982769012451,0.0,[23],"[27, 34, 53]","[27, 34, 53]"
110,0.9470050930976868,0.0,[],"[27, 34, 53]","[27, 34, 53]"
111,1.0307674407958984,0.0,"[25, 50, 51]","[27, 34, 53]","[27, 34, 53]"
112,1.0251742601394653,0.0,"[25, 51]","[27, 34, 53]","[27, 34, 53]"
113,1.1894640922546387,0.0,"[25, 51]","[27, 34, 53]","[27, 53]"
114,1.375770926475525,0.0,"[25, 31, 51]","[27, 53]","[27, 34, 53]"
115,1.2277302742004395,0.0,[],"[27, 34, 53]","[27, 34, 53]"
116,1.1641861200332642,0.0,[],"[27, 34, 53]","[27, 34, 53]"
117,1.0949649810791016,0.0,[],"[27, 34, 53]","[27, 34, 53]"
118,1.0810993909835815,0.0,"[25, 31, 50, 51]","[27, 34, 53]","[27, 34, 53]"
119,1.261657476425171,0.0,[],"[27, 34, 53]","[27, 34, 53]"
120,1.2948049306869507,0.0,[],"[27, 34, 53]","[27, 34, 53]"
121,1.2196706533432007,0.0,"[32, 52]","[27, 34, 53]","[27, 34, 53]"
122,1.238494634628296,0.0,"[32, 52]","[27, 34, 53]","[27, 34, 53]"
123,1.085033655166626,0.25,"[27, 32]","[27, 34, 53]","[27, 34, 53]"
124,1.0943052768707275,0.0,[],"[27, 34, 53]","[27, 34, 53]"
125,1.4614633321762085,0.0,[54],"[27, 34, 53]","[27, 36, 53, 55]"
126,1.3749115467071533,0.0,[],"[27, 53]","[27, 36, 55]"
127,1.6976878643035889,0.0,"[25, 26, 32, 34]",[27],"[27, 36, 55]"
128,1.2074053287506104,0.0,[],"[27, 34, 36]","[27, 36, 53, 55]"
129,1.0450669527053833,0.2,"[28, 34, 50]","[27, 34, 36]","[27, 36, 53]"
130,1.2404667139053345,0.3333333333333333,"[28, 34, 51]","[27, 34, 36, 51, 53]","[27, 36, 53]"
131,1.0980485677719116,0.2857142857142857,"[27, 28, 34, 51, 54]","[27, 34, 36, 53]","[27, 36, 53, 55]"
132,1.1685148477554321,0.4,"[27, 34, 51]","[27, 34, 36, 53]","[27, 36, 55]"
133,1.2269102334976196,0.4,"[27, 34]","[27, 34, 36, 53, 55]","[27, 36, 55]"
134,1.1382944583892822,0.25,[34],"[27, 34, 36, 55]","[27, 36, 55]"
135,1.0090560913085938,0.3333333333333333,"[26, 27, 34, 50]","[27, 34, 36, 55]","[27, 36, 55]"
136,1.1254891157150269,0.16666666666666666,"[34, 50, 51]","[27, 34, 36, 55]","[27, 36, 55]"
137,1.2737884521484375,0.3333333333333333,"[27, 34, 50, 51]","[27, 34, 36, 55]","[27, 36, 38, 55]"
138,1.0964709520339966,0.3333333333333333,"[27, 34, 50, 51]","[27, 34, 36, 55]","[27, 38, 55]"
139,1.0918312072753906,0.0,"[50, 51]","[27, 36, 55]","[27, 38, 55]"
140,1.0787866115570068,0.0,[50],"[27, 55]","[27, 38, 55]"
141,1.1752742528915405,0.0,"[50, 51]","[27, 55]","[27, 38, 55]"
142,1.135955572128296,0.0,"[50, 51]","[27, 55]","[27, 38, 55]"
143,1.017939805984497,0.0,[50],"[27, 55]","[27, 38, 55]"
144,1.0667142868041992,0.0,[],"[27, 55]","[27, 38, 55]"
145,1.07025146484375,0.0,[],"[27, 55]","[27, 38, 55]"
146,0.8253849148750305,0.0,"[35, 48, 50]","[27, 55]","[27, 38, 55]"
147,0.8613261580467224,0.0,"[48, 50]","[27, 55]","[27, 38, 55]"
148,0.9026607871055603,0.3333333333333333,"[27, 50]","[27, 55]","[27, 38, 55]"
149,1.0801459550857544,0.0,"[50, 54]","[27, 55]","[27, 38, 55]"
150,1.3292181491851807,0.0,"[50, 53]","[27, 55]","[27, 36, 39, 46, 55]"
151,1.0594842433929443,0.0,[],[53],"[36, 39, 46]"
152,1.2819311618804932,0.0,"[46, 48]",[],"[36, 39, 46]"
153,1.1611367464065552,0.0,[46],"[36, 39]","[36, 39, 46]"
154,1.0257662534713745,0.5,"[33, 36, 46]","[36, 39, 46]","[36, 39, 46]"
155,1.0849705934524536,0.3333333333333333,[46],"[36, 39, 46]","[36, 39, 46]"
156,1.1897661685943604,0.25,"[35, 36]","[36, 39, 46]","[36, 39, 46]"
157,1.1742918491363525,0.3333333333333333,[36],"[36, 39, 46]","[36, 39, 46]"
158,1.2263076305389404,0.5,"[35, 36, 46]","[36, 39, 46]","[36, 39, 46]"
159,1.2438048124313354,0.25,"[35, 36]","[36, 39, 46]","[36, 39, 46]"
160,1.1176302433013916,0.2,"[35, 36]","[36, 38, 39, 46]","[36, 39, 46]"
161,1.1006288528442383,0.25,[36],"[36, 38, 39, 46]","[36, 39, 46]"
162,0.8868739008903503,0.0,[],"[36, 39, 46]","[36, 39, 46]"
163,1.4010894298553467,0.0,[],"[36, 39, 46]","[36, 39, 45]"
164,1.4373823404312134,0.0,[],"[36, 39, 44]","[36, 39, 45]"
165,1.326857328414917,0.0,[33],"[36, 39, 45]","[36, 39, 45]"
166,1.1851108074188232,0.0,[],"[36, 39, 41, 45]","[36, 39, 45]"
167,1.3343749046325684,0.0,[],"[36, 39, 45]","[36, 39, 45]"
168,1.3522628545761108,0.0,[30],"[36, 39, 45]","[36, 39, 45]"
169,1.2706881761550903,0.0,[30],"[36, 39, 45]","[36, 39, 45]"
170,1.233399510383606,0.0,[],"[36, 39, 45]","[36, 39, 45]"
171,1.4253090620040894,0.0,[],"[36, 39, 45]","[36, 39, 45]"
172,1.3072148561477661,0.0,[],"[36, 39, 45]","[36, 39, 45]"
173,1.4615710973739624,0.0,[],"[36, 39, 45]","[36, 39, 45]"
174,1.3037340641021729,0.0,[],"[36, 39, 45]","[36, 39, 45]"
175,1.6771539449691772,0.0,[],"[36, 39, 45]","[33, 39, 45]"
176,1.5185030698776245,0.0,[],"[33, 39, 45]","[33, 36, 45]"
177,1.4583961963653564,0.0,[],"[33, 36, 45]","[33, 36, 45]"
178,1.5093915462493896,0.0,[],"[33, 36, 45]","[33, 36, 45]"
179,1.3778423070907593,0.0,[44],"[33, 36, 39, 45]","[33, 36, 45]"
180,1.4750603437423706,0.0,[44],"[33, 36, 45]","[33, 36, 45]"
181,1.3755316734313965,0.0,[44],"[33, 36, 45]","[33, 36, 45]"
182,1.3662387132644653,0.0,[44],"[33, 36, 45]","[33, 36, 45]"
183,1.4997509717941284,0.0,[44],"[33, 36, 45]","[33, 36, 45]"
184,1.672587513923645,0.0,[],"[33, 36, 45]","[33, 36, 45]"
185,1.7168266773223877,0.0,[],"[33, 36, 45]","[33, 36, 45]"
186,1.7676631212234497,0.0,[],"[33, 36, 45]","[33, 36, 45]"
187,1.7375115156173706,0.0,[],"[33, 36, 45]","[33, 36, 45]"
188,1.729858160018921,0.0,[],"[33, 36, 45]","[33, 36, 45, 51]"
189,1.7594964504241943,0.0,[],"[33, 36, 45]","[33, 36, 51]"
190,1.8150700330734253,0.0,[],"[33, 36]","[33, 36, 51]"
191,1.5860819816589355,0.0,[],"[33, 36, 51]","[33, 36, 51]"
192,1.6632899045944214,0.3333333333333333,[33],"[33, 36, 51]","[33, 36, 51]"
193,1.6482726335525513,0.3333333333333333,[33],"[33, 36, 51]","[33, 36, 51]"
194,1.5804386138916016,0.0,[49],"[33, 36, 51]","[33, 36, 51]"
195,1.4672737121582031,0.0,[50],"[33, 36, 51]","[33, 36, 51]"
196,1.4130562543869019,0.0,[50],"[33, 36, 51]","[33, 36, 51]"
197,1.3380450010299683,0.25,"[33, 50]","[33, 36, 51]","[33, 36, 51]"
198,1.397174596786499,0.0,[50],"[33, 36, 51]","[33, 36, 51]"
199,1.6678056716918945,0.0,[],"[33, 36, 51]","[33, 36, 51]"
200,1.525757074356079,0.0,[50],"[33, 36]","[33, 34, 36, 50, 51]"
201,1.8288465738296509,0.2,[50],"[32, 33, 36, 50, 51]","[34, 50]"
202,1.5028809309005737,0.5,[50],"[34, 50]","[34, 50]"
203,1.3637361526489258,0.0,[],"[34, 50]","[34, 50]"
204,1.3792657852172852,0.0,[],"[34, 50]","[34, 51]"
205,1.362091302871704,0.0,[50],[34],"[34, 51]"
206,1.0178711414337158,0.6666666666666666,"[50, 51]","[34, 50, 51]","[34, 51]"
207,1.2439253330230713,0.6666666666666666,"[50, 51]","[34, 50, 51]","[34, 50]"
208,1.2197703123092651,0.6666666666666666,"[50, 51]","[34, 50, 51]","[34, 50]"
209,1.2656352519989014,0.5,[50],"[34, 50]","[34, 50]"
210,1.0156915187835693,0.5,[50],"[34, 50]","[34, 50]"
211,1.0508071184158325,0.0,[],"[34, 50]","[34, 50]"
212,1.0336283445358276,0.0,[],"[34, 50]","[34, 50]"
213,1.5687172412872314,0.0,[],"[34, 50]","[34, 48]"
214,1.3957724571228027,0.0,"[46, 48]",[34],"[34, 48]"
215,1.3163460493087769,0.25,"[46, 48]","[34, 48, 50]","[34, 48]"
216,0.9984169006347656,0.3333333333333333,"[46, 48]","[34, 48]","[34, 48]"
217,1.2103976011276245,0.0,[],"[34, 48]","[34, 48]"
218,1.0196278095245361,0.0,[],"[34, 48]","[34, 48]"
219,1.174818754196167,0.0,[44],"[34, 48]","[34, 48]"
220,0.881574273109436,0.0,[44],"[34, 48]","[34, 48]"
221,1.2445080280303955,0.0,[22],"[34, 48]","[34, 48]"
222,0.9284490942955017,0.0,[],"[34, 48]","[34, 48]"
223,0.9989684820175171,0.0,"[22, 24, 28]","[34, 48]","[34, 48]"
224,1.2991265058517456,0.0,"[22, 24]","[34, 48]","[34, 48]"
225,1.356209397315979,0.0,[45],"[34, 48]","[34, 48]"
226,1.849799394607544,0.0,[],"[34, 48]","[29, 34]"
227,1.5228698253631592,0.0,[],[],"[29, 34, 48]"
228,1.5244269371032715,0.0,[45],[48],"[29, 34, 48]"
229,1.1055338382720947,0.0,[45],"[29, 31, 34, 48]","[29, 34, 48]"
230,1.0698918104171753,0.0,"[21, 26]","[29, 34, 48]","[29, 34, 48]"
231,1.2029266357421875,0.0,"[21, 45]","[29, 34, 48]","[29, 34, 48]"
232,0.9601907730102539,0.0,[45],"[29, 34, 48]","[29, 34, 48]"
233,1.0338600873947144,0.0,[45],"[29, 34, 48]","[29, 34, 48]"
234,1.2301406860351562,0.0,[],"[29, 34, 48]","[29, 34, 48]"
235,1.0900521278381348,0.0,[],"[29, 34, 48]","[29, 34, 48]"
236,1.1614620685577393,0.0,"[25, 28]","[29, 34, 48]","[29, 34, 48]"
237,1.0532375574111938,0.0,"[25, 28]","[29, 34, 48]","[29, 34, 48]"
238,1.1532648801803589,0.0,[28],"[29, 31, 34, 48]","[29, 34, 48]"
239,0.9932183623313904,0.0,"[25, 28, 44]","[29, 31, 34, 48]","[29, 31, 48]"
240,1.0759706497192383,0.0,"[25, 26, 28, 44]","[29, 31, 48]","[29, 31, 48]"
241,0.9073562622070312,0.0,"[23, 25, 26]","[29, 31, 48]","[29, 31, 48]"
242,1.1632070541381836,0.0,[],"[29, 31, 48]","[29, 31, 48]"
243,0.9867060780525208,0.0,[],"[29, 31, 48]","[29, 31, 48]"
244,1.0733603239059448,0.0,[],"[29, 31, 48]","[29, 31, 48]"
245,1.0571564435958862,0.0,"[23, 25, 26]","[29, 31, 48]","[29, 31, 48]"
246,1.0381536483764648,0.0,[],"[29, 31, 48]","[29, 31, 48]"
247,1.3430473804473877,0.0,[],"[29, 31, 48]","[29, 31, 48]"
248,1.205366611480713,0.0,[],"[29, 31, 48]","[29, 31, 48]"
249,1.1029424667358398,0.0,[],"[29, 31, 48]","[29, 31, 48]"
250,1.1420637369155884,0.0,[],"[29, 31, 48]","[29, 31, 48]"
251,1.148893117904663,0.0,[],"[29, 31, 48]","[29, 31, 33, 48]"
252,0.9163177609443665,0.0,"[25, 30]","[29, 31, 33, 48]","[29, 33, 48]"
253,1.0785390138626099,0.0,[25],"[29, 33, 48]","[29, 33, 48]"
