step,hand_qpos_l2,piano_state_iou,sim_keys,ref_keys,goal_keys
85,1.8320198059082031,0.0,[],"[26, 34, 53]","[26, 34, 53]"
86,1.9076341390609741,0.0,[31],"[26, 34, 53]","[26, 34, 53]"
87,1.8759574890136719,0.0,[31],"[26, 34, 53]","[26, 34, 53]"
88,1.7242090702056885,0.0,[31],"[26, 34, 53]","[26, 34, 53]"
89,1.8522827625274658,0.0,[],"[26, 34, 53]","[26, 34, 53]"
90,1.8362643718719482,0.0,[],"[26, 34, 53]","[26, 34, 53]"
91,1.8361637592315674,0.0,[],"[26, 34, 53]","[26, 34, 53]"
92,1.8653550148010254,0.0,[],"[26, 34, 53]","[26, 34, 53]"
93,1.9576027393341064,0.0,[],"[26, 34, 53]","[26, 34, 53]"
94,1.872936487197876,0.0,[],"[26, 34, 53]","[26, 34, 53]"
95,1.9582327604293823,0.0,[],"[26, 34, 53]","[26, 34, 53]"
96,1.869871735572815,0.0,[],"[26, 34, 53]","[26, 34, 53]"
97,1.6978299617767334,0.0,[],"[26, 34, 53]","[26, 34, 53]"
98,1.5747300386428833,0.0,[],"[26, 34, 53]","[26, 34, 53]"
99,1.8579214811325073,0.0,"[32, 55]","[26, 34, 53]","[26, 34, 53]"
100,1.5663079023361206,0.0,"[32, 55]","[26, 34, 53]","[26, 27, 34]"
101,1.2910056114196777,0.0,"[32, 55]","[26, 34, 53]","[27, 34, 53]"
102,1.2957637310028076,0.0,"[32, 55]","[34, 53]","[27, 34, 53]"
103,1.1618002653121948,0.0,[32],"[34, 53]","[27, 34, 53]"
104,1.0547550916671753,0.0,[32],"[27, 34, 53]","[27, 34, 53]"
105,0.8484596610069275,0.0,[32],"[27, 34, 53]","[27, 34, 53]"
106,0.8614488840103149,0.0,[32],"[27, 34, 53]","[27, 34, 53]"
107,0.9120986461639404,0.0,[32],"[27, 34, 53]","[27, 34, 53]"
108,0.89939284324646,0.25,"[27, 32]","[27, 34, 53]","[27, 34, 53]"
109,0.9772112965583801,0.25,"[27, 32]","[27, 34, 53]","[27, 34, 53]"
110,0.9862701892852783,0.25,"[27, 32]","[27, 34, 53]","[27, 34, 53]"
111,0.9069338440895081,0.0,[32],"[27, 34, 53]","[27, 34, 53]"
112,1.0284550189971924,0.0,"[32, 55]","[27, 34, 53]","[27, 34, 53]"
113,1.3593748807907104,0.0,[55],"[27, 34, 53]","[27, 53]"
114,1.133568525314331,0.0,[],"[27, 53]","[27, 34, 53]"
115,1.1706211566925049,0.0,[33],"[27, 34, 53]","[27, 34, 53]"
116,1.1384996175765991,0.0,[33],"[27, 34, 53]","[27, 34, 53]"
117,1.11060631275177,0.0,[33],"[27, 34, 53]","[27, 34, 53]"
118,1.3794472217559814,0.0,[],"[27, 34, 53]","[27, 34, 53]"
119,1.5082391500473022,0.0,[],"[27, 34, 53]","[27, 34, 53]"
120,1.4680945873260498,0.0,[],"[27, 34, 53]","[27, 34, 53]"
121,1.2661056518554688,0.0,[57],"[27, 34, 53]","[27, 34, 53]"
122,1.3678486347198486,0.0,"[56, 57]","[27, 34, 53]","[27, 34, 53]"
123,1.1711493730545044,0.0,[36],"[27, 34, 53]","[27, 34, 53]"
124,1.1592751741409302,0.0,[36],"[27, 34, 53]","[27, 34, 53]"
125,1.335879921913147,0.0,[],"[27, 34, 53]","[27, 36, 53, 55]"
126,1.4976632595062256,0.0,[],"[27, 53]","[27, 36, 55]"
127,1.3645093441009521,0.0,[],[27],"[27, 36, 55]"
128,1.8688966035842896,0.0,[30],"[27, 34, 36]","[27, 36, 53, 55]"
129,1.9461150169372559,0.0,[30],"[27, 34, 36]","[27, 36, 53]"
130,2.0468385219573975,0.0,[],"[27, 34, 36, 51, 53]","[27, 36, 53]"
131,2.162736415863037,0.0,[],"[27, 34, 36, 53]","[27, 36, 53, 55]"
132,2.056854009628296,0.0,[],"[27, 34, 36, 53]","[27, 36, 55]"
133,2.181270122528076,0.0,[],"[27, 34, 36, 53, 55]","[27, 36, 55]"
134,2.210219621658325,0.0,[],"[27, 34, 36, 55]","[27, 36, 55]"
135,2.2841057777404785,0.0,[30],"[27, 34, 36, 55]","[27, 36, 55]"
136,2.241102457046509,0.0,[30],"[27, 34, 36, 55]","[27, 36, 55]"
137,1.3493057489395142,0.0,"[30, 50]","[27, 34, 36, 55]","[27, 36, 38, 55]"
138,1.2094862461090088,0.0,"[30, 50]","[27, 34, 36, 55]","[27, 38, 55]"
139,1.223461389541626,0.0,"[30, 50]","[27, 36, 55]","[27, 38, 55]"
140,1.2247143983840942,0.0,"[30, 50]","[27, 55]","[27, 38, 55]"
141,1.235236644744873,0.0,[],"[27, 55]","[27, 38, 55]"
142,1.16996169090271,0.0,[],"[27, 55]","[27, 38, 55]"
143,1.0870434045791626,0.0,"[50, 51]","[27, 55]","[27, 38, 55]"
144,1.2279620170593262,0.0,"[50, 51]","[27, 55]","[27, 38, 55]"
145,1.2062125205993652,0.0,"[50, 51]","[27, 55]","[27, 38, 55]"
146,1.153395414352417,0.0,"[50, 51]","[27, 55]","[27, 38, 55]"
147,1.1641652584075928,0.0,"[50, 51]","[27, 55]","[27, 38, 55]"
148,1.0810250043869019,0.0,[51],"[27, 55]","[27, 38, 55]"
149,1.1139312982559204,0.0,"[30, 51]","[27, 55]","[27, 38, 55]"
150,1.5319024324417114,0.0,[],"[27, 55]","[27, 36, 39, 46, 55]"
151,1.2221323251724243,0.0,[],[53],"[36, 39, 46]"
152,1.0760858058929443,0.0,[],[],"[36, 39, 46]"
153,0.9891662001609802,0.0,[],"[36, 39]","[36, 39, 46]"
154,1.0241217613220215,0.3333333333333333,[46],"[36, 39, 46]","[36, 39, 46]"
155,1.0518957376480103,0.25,"[41, 46]","[36, 39, 46]","[36, 39, 46]"
156,1.011703610420227,0.25,"[41, 46]","[36, 39, 46]","[36, 39, 46]"
157,1.04825758934021,0.25,"[41, 46]","[36, 39, 46]","[36, 39, 46]"
158,1.0475283861160278,0.0,[],"[36, 39, 46]","[36, 39, 46]"
159,1.1591898202896118,0.0,[],"[36, 39, 46]","[36, 39, 46]"
160,1.0720469951629639,0.0,[],"[36, 38, 39, 46]","[36, 39, 46]"
161,1.0885064601898193,0.0,[],"[36, 38, 39, 46]","[36, 39, 46]"
162,1.0069055557250977,0.0,[],"[36, 39, 46]","[36, 39, 46]"
163,1.3462954759597778,0.0,[],"[36, 39, 46]","[36, 39, 45]"
164,1.319297194480896,0.0,[],"[36, 39, 44]","[36, 39, 45]"
165,1.3683534860610962,0.0,[],"[36, 39, 45]","[36, 39, 45]"
166,1.1075199842453003,0.0,[35],"[36, 39, 41, 45]","[36, 39, 45]"
167,1.1885963678359985,0.0,[35],"[36, 39, 45]","[36, 39, 45]"
168,1.2207146883010864,0.0,[],"[36, 39, 45]","[36, 39, 45]"
169,1.200914978981018,0.0,[],"[36, 39, 45]","[36, 39, 45]"
170,1.238128662109375,0.0,[],"[36, 39, 45]","[36, 39, 45]"
171,1.277761697769165,0.0,[41],"[36, 39, 45]","[36, 39, 45]"
172,1.319635033607483,0.0,"[41, 43]","[36, 39, 45]","[36, 39, 45]"
173,1.3635746240615845,0.0,"[41, 43]","[36, 39, 45]","[36, 39, 45]"
174,1.2447623014450073,0.0,"[41, 43]","[36, 39, 45]","[36, 39, 45]"
175,1.6924256086349487,0.0,[],"[36, 39, 45]","[33, 39, 45]"
176,1.5082409381866455,0.0,[],"[33, 39, 45]","[33, 36, 45]"
177,1.4266623258590698,0.0,[],"[33, 36, 45]","[33, 36, 45]"
178,1.4366302490234375,0.0,[],"[33, 36, 45]","[33, 36, 45]"
179,1.4390825033187866,0.0,[46],"[33, 36, 39, 45]","[33, 36, 45]"
180,1.4949684143066406,0.0,[46],"[33, 36, 45]","[33, 36, 45]"
181,1.456838846206665,0.0,[46],"[33, 36, 45]","[33, 36, 45]"
182,1.4907636642456055,0.0,[46],"[33, 36, 45]","[33, 36, 45]"
183,1.53691565990448,0.0,[46],"[33, 36, 45]","[33, 36, 45]"
184,1.649114727973938,0.0,[46],"[33, 36, 45]","[33, 36, 45]"
185,1.6834022998809814,0.0,[],"[33, 36, 45]","[33, 36, 45]"
186,1.6575205326080322,0.0,[],"[33, 36, 45]","[33, 36, 45]"
187,1.699613094329834,0.0,[],"[33, 36, 45]","[33, 36, 45]"
188,1.6895253658294678,0.0,[],"[33, 36, 45]","[33, 36, 45, 51]"
189,1.74294114112854,0.0,[],"[33, 36, 45]","[33, 36, 51]"
190,1.6702479124069214,0.0,[],"[33, 36]","[33, 36, 51]"
191,1.5108935832977295,0.0,[],"[33, 36, 51]","[33, 36, 51]"
192,1.501596450805664,0.0,[],"[33, 36, 51]","[33, 36, 51]"
193,1.5950026512145996,0.0,[35],"[33, 36, 51]","[33, 36, 51]"
194,1.611135721206665,0.0,[35],"[33, 36, 51]","[33, 36, 51]"
195,1.4927458763122559,0.0,[35],"[33, 36, 51]","[33, 36, 51]"
196,1.493378758430481,0.0,[35],"[33, 36, 51]","[33, 36, 51]"
197,1.4601448774337769,0.0,[35],"[33, 36, 51]","[33, 36, 51]"
198,1.4463435411453247,0.0,[35],"[33, 36, 51]","[33, 36, 51]"
199,1.617163062095642,0.0,[],"[33, 36, 51]","[33, 36, 51]"
200,1.6110280752182007,0.0,[],"[33, 36]","[33, 34, 36, 50, 51]"
201,1.7756214141845703,0.0,[],"[32, 33, 36, 50, 51]","[34, 50]"
202,1.374756097793579,0.0,[53],"[34, 50]","[34, 50]"
203,1.2238221168518066,0.0,[53],"[34, 50]","[34, 50]"
204,1.4286683797836304,0.0,[],"[34, 50]","[34, 51]"
205,1.1975644826889038,0.0,[],[34],"[34, 51]"
206,1.2594860792160034,0.0,[],"[34, 50, 51]","[34, 51]"
207,1.382667899131775,0.0,[],"[34, 50, 51]","[34, 50]"
208,1.1144131422042847,0.0,[],"[34, 50, 51]","[34, 50]"
